"Country","Total_Cases","New_Cases","Total_Deaths","New_Deaths","Total_Recovered","Active_Cases","Serious/Critical","Tot_Cases","Deaths","Total_Tests","Tests","Continents"
"World","9067824","28,887","471040","1,436","4850718","3746066","54740","1,163","60.4","","","All"
"USA","2356715","58","122248 ","1","980367","1254100","16477","7,121","369","28,492,770","86,093","North America"
"Brazil","1086990","","50659 ","","579226","457105","8318","5,115","238","2,430,347","11,436","South America"
"Russia","592280","7,600","8206 ","95","344416","239658","2300","4,059","56","17,200,000","117,862","Europe"
"India","426910","","13703 ","","237252","175955","8944","309","10","6,950,493","5,038","Asia"
"UK","304331","","42632 ","","N/A","N/A","379","4,484","628","7,890,145","116,241","Europe"
"Spain","293352","","28323 ","","N/A","N/A","617","6,274","606","5,162,909","110,426","Europe"
"Peru","254936","","8045 ","","141967","104924","1143","7,735","244","1,504,209","45,639","South America"
"Chile","242355","","4479 ","","200569","37307","1996","12,681","234","963,708","50,424","South America"
"Italy","238499","","34634 ","","182893","20972","148","3,944","573","4,984,370","82,436","Europe"
"Iran","204952","","9623 ","","163591","31738","2887","2,441","115","1,422,407","16,941","Asia"
"Germany","191575","","8962 ","","174900","7713","376","2,287","107","5,029,696","60,036","Europe"
"Turkey","187685","","4950 ","","160240","22495","803","2,226","59","2,945,240","34,932","Asia"
"Pakistan","181088","4,471","3590 ","89","71458","106040","111","820","16","1,102,162","4,993","Asia"
"Mexico","180545","5,343","21825 ","1,044","135279","23441","378","1,401","169","479,528","3,720","North America"
"France","160377","","29640 ","","74372","56365","715","2,457","454","1,384,633","21,214","Europe"
"Saudi Arabia","157612","","1267 ","","101130","55215","2027","4,529","36","1,284,653","36,918","Asia"
"Bangladesh","115786","3,480","1502 ","38","46755","67529","1","703","9","630,719","3,831","Asia"
"Canada","101337","","8430 ","","63886","29021","2026","2,686","223","2,415,441","64,013","North America"
"South Africa","97302","","1930 ","","51608","43764","208","1,641","33","1,328,060","22,400","Africa"
"Qatar","87369","","98 ","","68319","18952","221","31,116","35","320,792","114,250","Asia"
"Colombia","68652","","2237 ","","27360","39055","335","1,350","44","604,273","11,879","South America"
"Belgium","60550","","9696 ","","16771","34083","50","5,225","837","1,098,910","94,828","Europe"
"Belarus","58505","","346 ","","37666","20493","89","6,191","37","861,703","91,191","Europe"
"Sweden","56043","","5053 ","","N/A","N/A","272","5,550","500","385,659","38,193","Europe"
"Egypt","55233","","2193 ","","14736","38304","41","540","21","135,000","1,320","Africa"
"Ecuador","50640","","4223 ","","24991","21426","273","2,872","239","139,333","7,901","South America"
"Netherlands","49593","","6090 ","","N/A","N/A","55","2,894","355","517,317","30,192","Europe"
"Indonesia","46845","954","2500 ","35","18735","25610","","171","9","639,385","2,338","Asia"
"UAE","44925","","302 ","","32415","12208","1","4,544","31","3,038,000","307,270","Asia"
"Argentina","42785","","1011 ","","12728","29046","353","947","22","279,672","6,190","South America"
"Singapore","42313","218","26 ","","34942","7345","1","7,234","4","576,189","98,508","Asia"
"Kuwait","39650","","326 ","","31240","8084","186","9,289","76","354,378","83,017","Asia"
"Portugal","39133","","1530 ","","25376","12227","69","3,838","150","1,047,109","102,685","Europe"
"Ukraine","37241","681","1012 ","10","16642","19587","353","851","23","569,589","13,023","Europe"
"Poland","32227","296","1359 ","3","17076","13792","72","851","36","1,356,035","35,829","Europe"
"Switzerland","31310","18","1956 ","","29000","354","16","3,618","226","509,600","58,893","Europe"
"Oman","31076","1,605","137 ","6","16408","14531","100","6,091","27","161,580","31,669","Asia"
"Iraq","30868","","1100 ","","13935","15833","224","768","27","425,192","10,579","Asia"
"Philippines","30052","","1169 ","","7893","20990","82","274","11","594,817","5,430","Asia"
"Afghanistan","29143","310","598 ","17","8841","19704","19","749","15","65,847","1,693","Asia"
"Dominican Republic","26677","","662 ","","15138","10877","165","2,460","61","125,868","11,606","North America"
"Panama","26030","","501 ","","14359","11170","129","6,036","116","107,903","25,020","North America"
"Ireland","25379","","1715 ","","22698","966","17","5,141","347","399,259","80,883","Europe"
"Bolivia","24388","876","773 ","33","5454","18161","71","2,090","66","58,789","5,038","South America"
"Romania","24291","246","1523 ","11","17031","5737","195","1,263","79","630,374","32,764","Europe"
"Bahrain","21764","","63 ","","16419","5282","33","12,808","37","477,788","281,185","Asia"
"Israel","20869","91","307 ","1","15714","4848","46","2,269","33","804,743","87,495","Asia"
"Armenia","20588","320","360 ","10","9131","11097","10","6,948","121","96,843","32,683","Asia"
"Nigeria","20244","","518 ","","6879","12847","7","98","3","113,575","551","Africa"
"Japan","17864","","953 ","","16108","803","59","141","8","412,669","3,263","Asia"
"Kazakhstan","17732","507","120 ","","10897","6715","121","945","6","1,354,456","72,159","Asia"
"Austria","17341","","690 ","","16197","454","8","1,926","77","565,800","62,831","Europe"
"Moldova","14200","","475 ","2","8019","5706","440","3,520","118","63,328","15,698","Europe"
"Ghana","14154","147","85 ","","10473","3596","6","456","3","267,286","8,608","Africa"
"Guatemala","13145","390","531 ","17","2711","9903","5","734","30","31,427","1,755","North America"
"Serbia","12894","","261 ","","11947","686","19","1,476","30","339,882","38,897","Europe"
"Honduras","12769","463","363 ","5","1293","11113","13","1,290","37","21,540","2,176","North America"
"Azerbaijan","12729","","154 ","","6799","5776","66","1,256","15","417,102","41,147","Asia"
"S. Korea","12438","17","280 ","","10881","1277","15","243","5","1,182,066","23,057","Asia"
"Denmark","12391","","600 ","","11282","509","6","2,139","104","876,344","151,310","Europe"
"Cameroon","11892","","303 ","","7710","3879","28","448","11","","","Africa"
"Algeria","11771","","845 ","","8422","2504","41","269","19","","","Africa"
"Czechia","10498","","336 ","","7505","2657","9","980","31","520,344","48,592","Europe"
"Morocco","10079","102","214 ","","8319","1546","7","273","6","548,746","14,872","Africa"
"Nepal","9026","","23 ","","1772","7231","","310","0.8","437,347","15,019","Asia"
"Norway","8745","","244 ","","8138","363","6","1,613","45","302,659","55,840","Europe"
"Malaysia","8587","15","121 ","","8177","289","2","265","4","683,968","21,140","Asia"
"Sudan","8580","","521 ","","3325","4734","","196","12","401","9","Africa"
"Ivory Coast","7492","","54 ","","3068","4370","","284","2","45,152","1,713","Africa"
"Australia","7474","13","102 ","","6903","469","2","293","4","2,105,974","82,614","Australia/Oceania"
"Finland","7144","1","326 ","","6200","618","2","1,289","59","224,400","40,502","Europe"
"Uzbekistan","6358","43","19 ","","4377","1962","18","190","0.6","748,555","22,375","Asia"
"DRC","5924","98","135 ","5","856","4933","","66","2","","","Africa"
"Senegal","5888","","84 ","","3919","1885","16","352","5","67,855","4,056","Africa"
"Tajikistan","5457","","52 ","","3995","1410","","573","5","","","Asia"
"Haiti","5211","134","88 ","","24","5099","","457","8","10,378","910","North America"
"North Macedonia","5106","","238 ","","1926","2942","34","2,451","114","51,160","24,556","Europe"
"Guinea","4988","","27 ","","3669","1292","24","380","2","14,407","1,098","Africa"
"Kenya","4738","","123 ","","1607","3008","7","88","2","140,012","2,606","Africa"
"El Salvador","4626","","107 ","9","2542","1977","136","713","16","140,429","21,653","North America"
"Djibouti","4582","","45 ","","3859","678","","4,640","46","44,604","45,165","Africa"
"Ethiopia","4532","","74 ","","1213","3245","32","39","0.6","216,328","1,883","Africa"
"Gabon","4428","","34 ","","1750","2644","9","1,991","15","27,030","12,154","Africa"
"Luxembourg","4120","","110 ","","3956","54","1","6,585","176","148,014","236,568","Europe"
"Hungary","4102","8","572 ","2","2590","940","14","425","59","258,115","26,718","Europe"
"Venezuela","3917","","33 ","","835","3049","6","138","1","1,149,315","40,415","South America"
"Bulgaria","3905","","199 ","","2074","1632","13","562","29","116,780","16,804","Europe"
"Kyrgyzstan","3356","205","40 ","3","2021","1295","30","515","6","171,161","26,248","Asia"
"Bosnia and Herzegovina","3273","","169 ","","2241","863","4","998","52","81,030","24,695","Europe"
"Greece","3266","","190 ","","1374","1702","9","313","18","283,146","27,163","Europe"
"Thailand","3151","3","58 ","","3022","71","1","45","0.8","468,175","6,708","Asia"
"Mauritania","2984","","111 ","","811","2062","11","642","24","13,842","2,980","Africa"
"CAR","2808","","23 ","","472","2313","2","582","5","20,901","4,330","Africa"
"Somalia","2779","","90 ","","782","1907","2","175","6","","","Africa"
"French Guiana","2441","","6 ","","930","1505","14","8,180","20","8,061","27,013","South America"
"Mayotte","2404","","31 ","","2066","307","8","8,819","114","8,800","32,283","Africa"
"Croatia","2317","","107 ","","2142","68","","564","26","72,478","17,653","Europe"
"Cuba","2312","","85 ","","2103","124","1","204","8","148,812","13,138","North America"
"Costa Rica","2213","","12 ","","1032","1169","4","435","2","35,369","6,945","North America"
"Maldives","2203","","8 ","","1803","392","9","4,078","15","35,533","65,771","Asia"
"Albania","1995","33","44 ","","1159","792","10","693","15","20,762","7,214","Europe"
"Estonia","1981","","69 ","","1765","147","1","1,493","52","103,210","77,805","Europe"
"Sri Lanka","1950","","11 ","","1526","413","1","91","0.5","95,087","4,441","Asia"
"Mali","1933","","109 ","","1255","569","","96","5","10,743","531","Africa"
"South Sudan","1892","","34 ","","169","1689","2","169","3","9,829","878","Africa"
"Nicaragua","1823","","64 ","","1238","521","","275","10","","","North America"
"Iceland","1823","","10 ","","1805","8","","5,343","29","68,411","200,508","Europe"
"Lithuania","1801","3","76 ","","1475","250","16","661","28","394,465","144,872","Europe"
"Equatorial Guinea","1664","","32 ","","515","1117","","1,188","23","16,000","11,419","Africa"
"Madagascar","1596","","14  ","","655","927","9","58","0.5","18,119","655","Africa"
"Slovakia","1588","1","28 ","","1447","113","","291","5","201,993","36,998","Europe"
"Lebanon","1587","","32 ","","1068","487","8","232","5","116,282","17,035","Asia"
"Guinea-Bissau","1541","","17 ","","153","1371","5","784","9","1,500","763","Africa"
"Slovenia","1521","1","109 ","","1376","36","1","732","52","94,549","45,480","Europe"
"New Zealand","1513","2","22 ","","1482","9","","302","4","344,519","68,875","Australia/Oceania"
"Zambia","1430","","11 ","","1194","225","1","78","0.6","47,968","2,612","Africa"
"Paraguay","1379","","13 ","","871","495","1","193","2","56,992","7,993","South America"
"Sierra Leone","1327","","55 ","","788","484","","166","7","","","Africa"
"Tunisia","1159","2","50 ","","1020","89","","98","4","67,234","5,690","Africa"
"Hong Kong","1132","","5 ","","1078","49","2","151","0.7","301,108","40,172","Asia"
"Latvia","1111","","30 ","","903","178","1","589","16","139,024","73,693","Europe"
"Niger","1036","","67 ","","911","58","","43","3","6,406","265","Africa"
"Jordan","1033","","9 ","","739","285","3","101","0.9","330,869","32,437","Asia"
"Cyprus","986","","19 ","","824","143","4","817","16","146,740","121,561","Asia"
"Yemen","941","","256 ","","347","338","","32","9","120","4","Asia"
"Palestine","915","82","3 ","","439","473","","180","0.6","44,876","8,804","Asia"
"Georgia","908","2","14 ","","761","133","5","228","4","83,734","20,990","Asia"
"Burkina Faso","903","","53 ","","814","36","","43","3","","","Africa"
"Cabo Verde","890","","8 ","","413","469","","1,601","14","1,307","2,351","Africa"
"Congo","883","","27 ","","391","465","","160","5","","","Africa"
"Uruguay","876","","25 ","","814","37","4","252","7","57,289","16,493","South America"
"Chad","858","","74 ","","752","32","","52","5","","","Africa"
"Andorra","855","","52 ","","792","11","8","11,066","673","3,750","48,536","Europe"
"Uganda","774","4"," ","","631","143","","17","","155,882","3,412","Africa"
"Benin","765","","13 ","","253","499","2","63","1","54,306","4,484","Africa"
"Mozambique","733","","5 ","","181","547","","23","0.2","23,760","761","Africa"
"Malawi","730","","11 ","","258","461","4","38","0.6","9,763","511","Africa"
"Rwanda","728","","2 ","","359","367","","56","0.2","111,257","8,597","Africa"
"Diamond Princess","712","","13 ","","651","48","4","","","","",""
"Sao Tome and Principe","698","","12 ","","203","483","","3,187","55","1,681","7,675","Africa"
"San Marino","696","","42 ","","610","44","","20,513","1,238","5,501","162,133","Europe"
"Malta","665","","9 ","","616","40","","1,506","20","88,230","199,834","Europe"
"Jamaica","659","2","10 ","","516","133","1","223","3","20,434","6,901","North America"
"Eswatini","635","","5 ","","285","345","5","547","4","6,551","5,648","Africa"
"Liberia","626","","34 ","","254","338","","124","7","","","Africa"
"Libya","571","","10 ","","103","458","","83","1","20,757","3,022","Africa"
"Channel Islands","570","","48 ","","512","10","","3,279","276","10,255","58,997","Europe"
"Togo","569","","13 ","","375","181","2","69","2","27,824","3,364","Africa"
"Tanzania","509","","21 ","","183","305","7","9","0.4","","","Africa"
"Réunion","506","","1 ","","460","45","2","565","1","17,200","19,215","Africa"
"Zimbabwe","489","","6 ","","64","419","","33","0.4","52,905","3,561","Africa"
"Taiwan","446","","7 ","","434","5","","19","0.3","74,699","3,137","Asia"
"Montenegro","362","","9 ","","315","38","","576","14","13,186","20,995","Europe"
"Vietnam","349",""," ","","327","22","1","4","","275,000","2,826","Asia"
"Mauritius","337","","10 ","","326","1","","265","8","160,124","125,911","Africa"
"Isle of Man","336","","24 ","","312","0","","3,952","282","5,867","69,006","Europe"
"Suriname","314","","8 ","","106","200","2","535","14","1,165","1,986","South America"
"Myanmar","290","","6 ","","200","84","","5","0.1","62,070","1,141","Asia"
"Comoros","247","","5 ","","159","83","","284","6","","","Africa"
"Martinique","236","","14 ","","98","124","","629","37","","","North America"
"Mongolia","213","7"," ","","153","60","8","65","","20,300","6,195","Asia"
"Syria","204","","7 ","","83","114","","12","0.4","","","Asia"
"Cayman Islands","195","","1 ","","143","51","","2,968","15","20,370","310,041","North America"
"Faeroe Islands","187",""," ","","187","0","","3,827","","11,943","244,438","Europe"
"Guyana","184","","12 ","","103","69","1","234","15","2,108","2,680","South America"
"Angola","183","","9 ","","77","97","1","6","0.3","10,000","305","Africa"
"Gibraltar","176",""," ","","176","0","","5,224","","11,112","329,821","Europe"
"Guadeloupe","174","","14 ","","157","3","","435","35","6,900","17,245","North America"
"Bermuda","146","","9 ","","132","5","2","2,344","145","9,979","160,220","North America"
"Burundi","144","","1 ","","93","50","","12","0.08","382","32","Africa"
"Eritrea","143",""," ","","39","104","","40","","","","Africa"
"Brunei ","141","","3 ","","138","0","","322","7","26,468","60,517","Asia"
"Cambodia","129",""," ","","127","2","1","8","","31,616","1,892","Asia"
"Trinidad and Tobago","123","","8 ","","109","6","","88","6","4,313","3,082","North America"
"Bahamas","104","","11 ","","77","16","1","265","28","2,347","5,970","North America"
"Aruba","101","","3 ","","98","0","","946","28","2,270","21,264","North America"
"Monaco","100","","4 ","","94","2","","2,549","102","16,200","412,897","Europe"
"Barbados","97","","7 ","","85","5","1","338","24","7,450","25,925","North America"
"Botswana","89","","1 ","","25","63","1","38","0.4","33,919","14,433","Africa"
"Liechtenstein","82","","1 ","","55","26","","2,151","26","900","23,607","Europe"
"Sint Maarten","77","","15 ","","62","0","","1,796","350","477","11,128","North America"
"Bhutan","68",""," ","","32","36","","88","","23,176","30,045","Asia"
"Namibia","63","8"," ","","21","42","1","25","","7,331","2,887","Africa"
"French Polynesia","60",""," ","","60","0","","214","","4,578","16,299","Australia/Oceania"
"Macao","45",""," ","","45","0","","69","","","","Asia"
"Saint Martin","42","","3 ","","36","3","1","1,087","78","685","17,725","North America"
"Gambia","37","","2 ","","24","11","","15","0.8","1,970","816","Africa"
